step,category,rank,reward,R2,RMSE,prefix,expr
0,elite,81,0.836579,0.8413047876424168,1.1115467209863643,sub sub sub v2 pow aggr sour sigmoid add mul <C> v2 pow logabs 5 v2 pow3 <C> 2 <C>,(((v2-(aggr(sour(sigmoid(((0.6906*v2)+(logabs(5)**v2)))))**(-0.5355**3)))-2)--2.9713)
0,elite,82,0.493004,-108.85711825750163,29.2455579114454,inv sub sub sub mul v2 pow3 v2 v1 div mul <C> aggr sub sour v2 targ v2 <C> (1/5),(1/((((v2*(v2**3))-v1)-((0.7820*aggr((sour(v2)-targ(v2))))/-1.0287))-(1/5)))
0,elite,83,0.493141,0.008470005650131007,2.7784253812515596,sub sub sub tanh mul v2 pow3 v2 v1 div mul <C> aggr sub sour v2 targ v2 <C> <C>,(((tanh((v2*(v2**3)))-v1)-((-0.2635*aggr((sour(v2)-targ(v2))))/-1.6319))-1.2096)
0,elite,84,0.360217,-0.41965200054937735,3.3245797773797827,sub sub sub tanh mul v2 pow3 v2 v1 div mul <C> aggr sub sour v2 targ <C> (1/4) <C>,(((tanh((v2*(v2**3)))-v1)-((-0.0332*aggr((sour(v2)-targ(-1.3900))))/(1/4)))-1.5441)
0,elite,85,0.136968,-4.240487089424101,6.387510648492038,sub sub sub sub mul sqrtabs v2 v1 div mul <C> aggr sin cos sour v2 v2 v2 (1/3) <C>,(((((sqrtabs(v2)*v1)-((0.0151*aggr(sin(cos(sour(v2)))))/v2))-v2)-(1/3))--0.1868)
0,elite,86,0.866023,0.8396482394685918,1.1173331286994892,v2,v2
0,elite,87,0.474296,-0.15183650324498643,2.9946166046612195,sub sub sub sub mul v2 (1/4) v2 v1 div mul <C> aggr sub sour <C> targ v2 1 <C>,(((((v2*(1/4))-v2)-v1)-((0.5183*aggr((sour(0.0921)-targ(v2))))/1))-0.0407)
0,elite,88,0.507520,-0.03151385011837293,2.833892300520971,div sub sub sub mul v2 pow3 v2 v1 div cos <C> <C> (1/4) <C>,(((((v2*(v2**3))-v1)-(cos(-15.7143)/-21.1733))-(1/4))/-646.4513)
0,elite,89,0.110412,-6.918538230333981,7.851783540222399,sub sub sub sub mul v2 pow3 sigmoid v1 v2 v2 (1/3) <C>,(((((v2*(sigmoid(v1)**3))-v2)-v2)-(1/3))--0.0058)
0,elite,90,0.105922,-7.39915988256889,8.086558517866324,sub sub sub sub mul v2 (1/4) v2 v1 div v2 1 <C>,(((((v2*(1/4))-v2)-v1)-(v2/1))-0.0957)
0,elite,91,0.088087,-8.947205567004113,8.8002772766723,sub sub sub sub neg v2 v2 v1 div mul <C> aggr sour v2 5 aggr sour <C>,(((((-v2)-v2)-v1)-((-0.7598*aggr(sour(v2)))/5))-aggr(sour(-0.0598)))
0,elite,92,0.004495,-215.46295806541096,41.05231039666111,sub sub sub sub v2 pow3 v2 v1 div mul <C> aggr sin targ v2 4 <C>,((((v2-(v2**3))-v1)-((51.3206*aggr(sin(targ(v2))))/4))-2.5937)
0,elite,93,0.169599,-3.721975028327689,6.0632803939059,sub 5 v1,(5-v1)
0,elite,94,0.418506,-0.40726498530256117,3.3100438749747174,sub sub sub tanh mul v2 pow3 v2 v1 div mul <C> aggr sour v2 (1/3) <C>,(((tanh((v2*(v2**3)))-v1)-((-0.0258*aggr(sour(v2)))/(1/3)))-0.7391)
0,elite,95,0.410682,-0.37324030476677295,3.269784119349078,sigmoid sub sub 5 v2 pow3 v2,sigmoid(((5-v2)-(v2**3)))
0,elite,96,0.484060,-0.0014916321061673177,2.7923475504422774,div mul <C> aggr sin sub sour v2 targ v2 v1,((0.0002*aggr(sin((sour(v2)-targ(v2)))))/v1)
0,elite,97,0.496453,-1919.7755638817493,122.28807833733909,sub sub sub <C> mul mul mul <C> v2 v1 div mul add tan v1 v2 3 <C> (1/2) <C>,(((0.9010-(((-0.0035*v2)*v1)*(((tan(v1)+v2)*3)/-1.5027)))-(1/2))-0.4861)
